Name,RQCD_d2_ud
Comment,Taken from table 4 for u and d quarks
Reference,arXiv:2111.08306
Process type,D2
Number of points,2
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,
RQCD_d2_ud.0,2,4.0,2.0,1.95,2.05,0.026,0.004,0.013,1.0
RQCD_d2_ud.1,1,4.0,2.0,1.95,2.05,-0.0086,0.0026,0.0146,1.0
