Name,HallA-2004.n
Comment,Taken from table 6. Bin in Q guessed by us.
Reference,arXiv:nucl-ex/0405006v5
Process type,G2
Number of points,3
Number of uncorr.errors,3
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,xSec,Uncorr.Err.0,Uncorr.Err.1,Uncorr.Err.2,Th.Factor,FiducialCuts,
HallA-2004.n.0,101,11.586321,1.6462077633154328,1.5312284930084634,1.7611870336224023,0.33,0.26,0.4,-0.00956777330305284,0.043,0.003,0.008599547745953562,1.0
HallA-2004.n.1,101,11.586321,1.876166303929372,1.7611870336224023,2.0369462007564816,0.47,0.4,0.5349999999999999,0.023199717749705095,0.013,0.003,0.005512533424441494,1.0
HallA-2004.n.2,101,11.586321,2.1977260975835913,2.0369462007564816,2.358505994410701,0.6,0.5349999999999999,0.665,-0.007188699627106092,0.009,0.001,0.0023954035259655245,1.0
