Name,star23.sivers.Z
Comment,STAR AN for Z
Reference,2308.15496
Process type,DY
Number of points,1
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.014
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
star23.sivers.Z.0,1 / 1 / 1 / 10003,1 / 1 / 1 / 3,250000.0,91.19,73.0,114.0,0.0,-1.0,1.0,5.25,0.5,10.0,0.056,0.081,0.05,1.0,False,25.0,25.0,-1.0,1.0
